SSR,REG,OPERATOR,AC TYPE,MTOW,SPECIES
0201,8Q-MBE,TMA,DHC6,"5,000.00",SEAPLANE
0202,8Q-TAE,TMA,DHC6,"5,000.00",SEAPLANE
0203,8Q-MBF,TMA,DHC6,"5,000.00",SEAPLANE
0204,8Q-MAD,TMA,DHC6,"5,000.00",SEAPLANE
0205,8Q-MBG,TMA,DHC6,"5,000.00",SEAPLANE
0206,8Q-MAF,TMA,DHC6,"5,000.00",SEAPLANE
0207,8Q-MBA,TMA,DHC6,"5,000.00",SEAPLANE
0210,8Q-MAH,TMA,DHC6,"5,000.00",SEAPLANE
0211,8Q-MAI,TMA,DHC6,"5,000.00",SEAPLANE
0212,8Q-TMZ,TMA,DHC6,"5,000.00",SEAPLANE
0213,8Q-TMY,TMA,DHC6,"5,000.00",SEAPLANE
0214,8Q-TMX,TMA,DHC6,"5,000.00",SEAPLANE
0215,8Q-MAO,TMA,DHC6,"5,000.00",SEAPLANE
0216,8Q-MAP,TMA,DHC6,"5,000.00",SEAPLANE
0217,8Q-TAC,TMA,DHC6,"5,000.00",SEAPLANE
0220,8Q-MBH,TMA,DHC6,"5,000.00",SEAPLANE
0221,8Q-MBB,TMA,DHC6,"5,000.00",SEAPLANE
0222,8Q-MAT,TMA,DHC6,"5,000.00",SEAPLANE
0223,8Q-TAB,TMA,DHC6,"5,000.00",SEAPLANE
0224,8Q-TMU,TMA,DHC6,"5,000.00",SEAPLANE
0225,8Q-TMW,TMA,DHC6,"5,000.00",SEAPLANE
0226,8Q-OEQ,TMA,DHC6,"5,000.00",SEAPLANE
0227,8Q-MBC,TMA,DHC6,"5,000.00",SEAPLANE
0230,8Q-TMV,TMA,DHC6,"5,000.00",SEAPLANE
0231,8Q-MAX,TMA,DHC6,"5,000.00",SEAPLANE
0232,8Q-MAW,TMA,DHC6,"5,000.00",SEAPLANE
0233,8Q-MAZ,TMA,DHC6,"5,000.00",SEAPLANE
0234,8Q-MBD,TMA,DHC6,"5,000.00",SEAPLANE
0235,8Q-MAJ,TMA,DHC6,"5,000.00",SEAPLANE
0236,8Q-MAN,TMA,DHC6,"5,000.00",SEAPLANE
0237,8Q-TMR,TMA,DHC6,"5,000.00",SEAPLANE
0240,8Q-TMS,TMA,DHC6,"5,000.00",SEAPLANE
0241,8Q-TMB,TMA,DHC6,"5,000.00",SEAPLANE
0242,8Q-TAD,TMA,DHC6,"5,000.00",SEAPLANE
0243,8Q-TME,TMA,DHC6,"5,000.00",SEAPLANE
0244,8Q-TMF,TMA,DHC6,"5,000.00",SEAPLANE
0245,8Q-TMG,TMA,DHC6,"5,000.00",SEAPLANE
0246,8Q-TMH,TMA,DHC6,"5,000.00",SEAPLANE
0247,8Q-TMI,TMA,DHC6,"5,000.00",SEAPLANE
0250,8Q-TMJ,TMA,DHC6,"5,000.00",SEAPLANE
0251,8Q-TMK,TMA,DHC6,"5,000.00",SEAPLANE
0252,8Q-TML,TMA,DHC6,"5,000.00",SEAPLANE
0253,8Q-TMN,TMA,DHC6,"5,000.00",SEAPLANE
0254,8Q-TMO,TMA,DHC6,"5,000.00",SEAPLANE
0255,8Q-TMP,TMA,DHC6,"5,000.00",SEAPLANE
0256,8Q-TMQ,TMA,DHC6,"5,000.00",SEAPLANE
0257,8Q-TAG,TMA,DHC6,"5,000.00",SEAPLANE
0260,8Q-TMA,TMA,DHC6,"5,000.00",SEAPLANE
0261,8Q-TAH,TMA,DHC6,"5,000.00",SEAPLANE
0262,8Q-TAJ,TMA,DHC6,"5,000.00",SEAPLANE
0263,8Q-TAX,TMA,DHC6,"5,000.00",SEAPLANE
0264,8Q-TAK,TMA,DHC6,"5,000.00",SEAPLANE
0265,8Q-TAL,TMA,DHC6,"5,000.00",SEAPLANE
0266,8Q-TAN,TMA,DHC6,"5,000.00",SEAPLANE
0267,8Q-TAO,TMA,DHC6,"5,000.00",SEAPLANE
0270,8Q-TAM,TMA,DHC6,"5,000.00",SEAPLANE
0271,8Q-TAP,TMA,DHC6,"5,000.00",SEAPLANE
0272,8Q-TAQ,TMA,DHC6,"5,000.00",SEAPLANE
0273,8Q-TAR,TMA,DHC6,"5,000.00",SEAPLANE
0274,8Q-TAT,TMA,DHC6,"5,000.00",SEAPLANE
0275,8Q-TAU,TMA,DHC6,"5,000.00",SEAPLANE
0276,8Q-TAZ,TMA,DHC6,"5,000.00",SEAPLANE
